prod_id,summ_1,summ_2,summ_3,comments
B005BINK4Y,It is a reallly good 3d phone with a lot of functions but the only problem would be the battery which tends to drop low very fast.,"good cost-benefit phone, with incredible 3d quality, however, the battery leaves something to be desired, making the device discharge more often.","the smartphone is great, featuring a realistic 3d screen, great graphics, and a fast processor, this smartphone is terrific. it is easy to use, sturdy, and very fast.there is a lack of battery reliability, and all apps run smoothly.",2 disagreements
B005CERU0M,the lens attaches to the iphone camera and it great if you have a hobby of photography. the only problem is that sometimes the entire package isn't delivered and there are lenses missing.,"this is inexpensive camera equipment. the lenses are cheap, but there is a zoom lens. the rings do not stick. you have to be careful the flash is not blocked.",good gift for people who like to take pictures. but it can be hard to connect the lens to certain phone cameras.,
B005DMMEMM,"A great short story leaving some wanting more and some given too much, if you are into romance novels this is for you. It contains love, sex and thrill. But also follows the footsteps of most romance novels, the same story line told by many many different authors just in a different setting with different characters. Overall Virginia Henley did good, plus it is free!","the book has some strong points and can be satisfying. it doesn't tread new territory but has a decent story. however, there are flaws that bring down the quality. namely, the short length of the book and lack of character development/connection that is in much of the story.",a book by virginia henley about history and romance. a quick story with graphic sex scenes but the storyline falls short.,
B005I0GXO4,"it is a book that has many sex scenes focused on the main character, making it a limited plot, but it has good writing and a quick read.",this book is an erotic story with a sci-fi setting. there is a lot of focus on the sex scenes. the space academy setting is unrealistic as no one is paying attention to flying the ship due to all of the sex being had.,flight academy is science fiction. it has sex scenes and fantasies. the book is mostly about the main character having mechanical problems.,2 disagreements
B005ISQ7JM,This book is a great introduction to HTML 5 and to use as a reference. It is simple and easy to understand although advanced coders or developers might want to look elsewhere.,"Overall the reviews are torn, some users are reporting that the book is only good as an introductory book, while others report it is too broad to understand.","the book is a sophomoric approach to teaching an understanding of web technologies. it is a beginner-level primer, containing little useful to people who are not completely unfamiliar with the technology in question.",
B005JYUWVY,for those who enjoy a sexy romance book. it goes into details with it's sexual fantasies.,"a shorter book, but a story with many emotions and a well done and contagious plot.",this book has short story and erotic one but its easy to read since its very short.,2 disagreements
B005OGO2AY,"good calendar and used for creative use. in this there is no clear events and tasks sometimes. every users will delete expect this, because this is so good and innovative. this calendar outstands from other events but includes some events.","it's an easy to use calendar and the icons are nice, but some things to improve like putting more holidays and making the instructions easier to put the events. In general it is a good product, but it can improve several aspects.","the calendar/planner is relatively easy to use and has been widely praised for its usefulness. however, it can be criticized by some for its lack of clarity in the instructions and for being a bit pricey.",
B005PUZO92,"The Bluetooth headset has some good points and some bad.  The sound quality is good. The battery life is good, however the battery is internal.  On occasion is fails to lock in the deployed position.  The fit of the headset is not the best. The covering picks up debris and always looks dirty. On occasion the headset fails to connect with a device.",These headphones will fold for easy storage. They are comfortable but do not fit very snug against the head. The ear covers are made of a black felt fabric that may pick up dirt or dust. They have a microphone but the voice quality is not great.,this bluetooth has good quality of sound and the price is cheap. it has some connectivity issues with some devices.,
B005PVXIVM,"these ear buds are light weight with an adjustable cord for comfort and a carrying case making travel easy. however, materials used are not of top quality and may cause product to malfunction or slip from ears when using.",the headphones have enabled microphone to make it possible to answer calls while doing other activities. the cords are however shorter. they come in a leather carrying case for easy pocket transportation.,It's a good headphone for the price. Microphone works fine. Volume is average. It's not the most durable. But it is very presentable. Overall it's an ok headphone.,2 disagreements
B005QTTDZ8,The phone is a locked and has a battery which must be charged frequently due to low battery life. It is a simple phone with a large screen for everyday usage. A person buying this phone should check with their carrier if their services will work appropriately with the phone.,"this review is about phone. some people gave a very positive reviews and some people gave a negative reviews. some people told that they purchased this for the second time and they like it which is worth for money. some people complained about it battery, mic and display.",overall the phone is of good quality but has some features that could be improved like the front camera and the battery life,
B005T54NYK,"This short story is a follow up on ""Strike for Christmas"" and will appeal to you If you are looking for a book that is centered around Christmas stories. The book itself being short in nature may leave you wanting to read more.",the book was a short story by shelia roberts. it is a christmas story that is from the viewpoint of a cat. another character is introduced in the middle of the story.,it was a short story. there are a couple different characters. it was nice to see how a cat will interact with the world.,
B005W5W006,"the case is beautiful, fits well, and has a good price, but it is not sturdy and is easily damaged.","this case is a cheap to buy. it is also not well made, it breaks easily when being removed for cleaning. the hole for the charger is also not big enough, the case will need to be removed for charging. overall it's cheap and not sturdy.","it is a product with a promotional price that is worth it for that alone. durability is low and quality is questionable in some situations. it's only worth the good price it offers, pay attention to it and don't expect more than just a product to meet your immediate need. it's not worth investing in durability.",
B005Y2MYNK,"it is a good book, interesting, with an erotic plot, but it presents a short story, in need of a complementation.",It's a short book. Not too short to not have hot scenes nor long enough to get to know the characters better.,this book is good to read and some interesting sex scenes are there though its very short story.,
B005Z18ULK,"the headset is nicely presented, is pleasant aesthetically and has an easy bluetooth connection. however, the maximum volume is quite low and the material quality is cheap.","the headset is nicely presented, is pleasant aesthetically and has an easy bluetooth connection. however, the maximum volume is quite low and the material quality is cheap.","this product have great battery life and the design is also good. however, it doesn't sits in the ear well.",2 disagreements
B005Z19G7M,a good looking bluetooth earphone with good battery capacity. the sound quality is average but sounds clearly on both ears. easy to use. the earphones are too big to wear comfortably.,The headphones are small and they recharge quickly. They can be difficult to keep in the ear. The sound quality is average. They come with volume control and they work with Bluetooth.,"the phone has a stylish design and good sound, in addition, it charges quickly and the battery lasts a long time, but it breaks easily.",
B0061N848A,a short story by delilah marvelle about a historical romance. it can feel rushed at times with not much character development which makes it hard to connect with them.,"A short historical romance story, that has more upcoming stories. Not a long read but something good to read if you need to pass the time. Book has interesting characters and story-line, but not the story is not long enough to get emotionally invested in.",some people are not satisfied with this book by delilah marvelle.  they say it seems rushed and does not develop characters well.  others give opinions on it being related to other novels and the order in which they need to be read to make sense.,
B0063672C4,"A short story about a housewife who ends up sleeping with an attractive Black man to pay the rent. The characters are simple and the action consists mostly in sex scenes. A quick and exciting read for those who like steamy, uncomplicated stories.",The book lacks depth in regards to the characters and the plot but it describes sexual scenes well.,this story seems to be about a very hot housewife whose is struggling to pay rent so her landlord sends a black man to have sex with her. it is a adults only novel.,
B0064GYRFI,the item fits the phone well. it breaks easily after not much use. the white one gets dirty really easily.,the case works as intended with the bumpers and the buttons have a metal look and feel. the case is better looks wise than it is protection wise.,"it's a nice case, it's a great price, and it fits perfectly on the phone, but it's not durable and gets dirty quickly.",2 disagreements
B006DI8FIW,"The case appears to be red in the photo but is more hot pink, fits the phone well, doesn't make charging difficult, works well for its price, but it shouldn't last long.",The color of the product is different from the image but overall it is of good quality and works well,This is a cover for iPhone 5s that is pink in color. The style of the cover is a bumper which only covers the sides of the phone.,
B006G3C8SW,this phone case is cheap at only two dollars but tends not to last long. the blue in the color scheme sometimes appears more purple.,"the price is reasonable, and the quality is good. it is better than disposable ones. the case could offer more protection and durability.","despite possessing a fun color combination, the product is a phone case that fails to usefully protect the phone or maintain its own condition. shortly after use, many users found their cases had accrued significant damage.",
B006S4X7DE,the book tells you how to lose weight. it gives you generic advice. it shows your mind how to follow body motions.,Reviews mentioned about kindle book which is about body fitness and tips. Most of reviews are in positive ways about body fitness. Very few reviews are mentioned about waste of money for book.,"it's a cheap and easy-to-read book, but it's too short and the information it contains doesn't add much.",
B006SKO09S,"the antenna works nicely to make the connection better and more stable, but it doesn't always work and its plug commonly falls out.",the antenna helps to increase the strength of the signal and it is portable which helps to keep connected to the network even at remote areas. the only problem is with plug which falls out.,Wifi was not stable without antenna. overall its an average wifi connection. it speed was more when it connects with antenna only sometimes it also decreased. overall the plugging was so bad. delivery date also be delayed.,
B006UCVJKM,"this book is a psychological thriller, featuring young characters, with lots of twists and turns throughout the book","the psychological side of the story is really interesting and it has, in general, a pretty good plot.",The book by Vin Parker is a captivating read with twists and turns that leave you engrossed in it. Representing a storyline in the 50s it captures a mundane experience and tells about 3 young boys and their wild escapades. It is an interesting read for a free book despite having an all the subtle ending and disjointing personas it captures and captivates.,
B006VYMHT6,the customers were not satisfied witht the product. it was not build with good quality and not much protection for the smart phone.,"Overall the reviews are mixed with most people enjoying the case for what it is. Most comment about the protection the case provides as being good, but the quality being cheaper than name brand counterparts.","The case has a nice quality and gives good protection to the phone, however it doesn't fit every phone even though the description says so. The sides of it are too thick making it hard to click the volume buttons.",
B006W0PPAM,"feels very bulky, with more protection on back the in the front. there should have some lip on the front instead of the back to protect the screen.","According to the reviews, the case gets easily dirty because of the texture of the case, but the case fits perfectly to mobiles and it was hard plastic..","This case is not extremely durable, long-lasting, or particularly easy to use, but if you're more interested in a low-cost, fancy look than hardcore protection, it might be the way to go.",
B00761OU0C,"it is a short and easy-to-read book, but the plot is confusing and there are many grammatical errors.","The book was enjoyable story, but included some poor prose, cliches, and errors in grammar.","A book about young gay characters with minimal sex scenes. The characters are interesting, but the writing is cliched and contains many typos and grammatical errors.",
B007CE0ZA2,"phone is a chinese-focused android variant. it is locked out of most android features, forcing the use of chinese versions of play store and other android essentials. most users find that this makes the phone worse to use, but tolerate it for the low cost.",this is a phone made for use in china that works well in china only. there is no capability for google products and although some aspects can be changed to american verisons. most of the phone's programming is made for use in china by people who can read chinese.,product wise  its good design feel comfort while handle but the process bit bad lack of memory and too much hanging issue,
B007HIMU3S,"this music-based book is easy to read and quite affordable. it has useful and easy-to-follow information in it. however, it is quite short and doesn't always work on kindle.","For beginners, this product will offer you an inexpensive, if not original, chance to learn a few things about simple guitar chords. Easy to use, it compares to other competitors that are often available for free. If your experienced or even a little advanced, you should choose another product that pushes your knowledge rather than repeating beginner lessons. This will not work with certain operating systems including the Kindle so check the requirements prior to purchasing. .","It's a guitar music learning edition on kindle  it teach music by using some songs and chord , this edition is not mostly helpful it has some lack of teaching skill which can be easily find on some other sources for free.",
B007Q2ZKD2,this book has plenty of drama and sad twists and turns. great for those looking for a heart breaking tale.,a sad book with some awkward writing in it. some people may enjoy that. if you like being on an emotional roller coaster then this is for you.,"Readers found this book to be quite a different spin off of the original story, filled with a lot of unexpected sadness and despair. Despite this, most felt it was well-written given the genre.",
B007RRPPH2,The charger doesn't work correctly and its cover doesn't perfectly matched the kindle and the price is affordable but quality was low.,It does not fit very well and the chargers did not worked well too. Screen covers are just in ok condition.,it appears that the general consensus is you get what you pay for.  the wall charger and case are the real negative factor with most of the reviews as it isn't working and fitting properly.  you do have a chosen few that think overall its a decent product.  either way you should do your own research before purchase.,
B007SJHHH0,The mobile case cover is very protective which comes with the inbuilt screen cover so it will save your phone screen but the rubber is bit thinner which is totally fine for this price segment. The best part it receives on time. Overall the case is a good deal under this price category with timely delivery.,"this case is a very good deal for the money.  it is very inexpensive.   however, it can break rather easily. it breaks too easily and can be difficult to adjust.",a phone case with cheap and poor quality plastic. can be flimsy but it's what to be expected based on the low price.,
B007X90DNK,"This case is cheap and beautiful, having a great cost benefit, however the brilliants that it composes are fragile and the case itself breaks very easily making it difficult to be inserted in the device.","This iphone cover is made out of plastic and so it is less durable and somewhat prone to breaking down the line. Design wise, the case looks appealing and shiny because it has rhinestones on it.",a cheap phone case with rhinestones that can comes off. also not a high quality case because it can fit awkwardly on certain phones and falls off easily.,
B007Y117IC,"the case is beautiful, inexpensive, fits perfectly and delivery is fast, but the crystals came off easily.","the case poses major problems for anyone who uses it. reviewers found it difficult to remove the case, and that is aesthetic design features degraded quickly under regular use. the product seems deeply problematic.",This phone case is very cute and light weight. However it is cheaply made as the crown beads are loosely glued and can come off. It is more decorative than durable.,
B007Y73CGQ,"The case is aethetically pleasant, looks nice on the phone and the colours are well printed. However, it gets dirty really quickly and the quality is not the best considering its price.",this case comes with extra glue and extra pieces so that you can fix any problems. it has lace and beads to dress up your phone. you won't have to take the case off to plug it up.,The case is stylish and decorative but can be delicate and easily damaged. It comes with repair items and glue in case the decorations need to be replaced.,
B008327Z6O,"this series of the books has a good plot and characterization but it is bit confusing. the editing is average. the author has taken the continuation of the series in a good manner. overall, a good book to read.",the storyline is impressive but there is a lot of time hopping. this book has a sci-fi setting with a storyline also about religion. reading the prior books in the set help make reading this one easier to follow.,"this book is about time traveling and had an interesting concept to it past chapter 7. overall, the book needs a improvement to avoid confusion so the storyline remains specific and consistent.",
B00853OGS6,"The cover is not in good quality, made of cheap plastic, bit difficult to remove bubbles. The quality is bad.","product is a screen protector. it was found that the screen protector was made of an fragile plastic and did not adhere to the phone well, resulting in universal disappointment.",the screen protector is always protect the screen of the phone. that is recommended to use for the sony xperia. the protector is cheap one and that had the bubbles on it. in some point this not useful as a screen protector because of bubbles on it while we fit on the phone.,
